province;red;green;blue;x;x
893;160;144;224;Diyarbakir;x
894;33;17;224;Adana;x
895;160;144;96;Mersin;x
896;176;224;96;Marash;x
897;122;22;121;Aleppo;x
898;204;189;25;Antep;x
899;102;83;128;Urfa;x
900;224;17;96;Antioch;x
901;166;177;76;Dayr al-Zour;x
902;224;17;224;Damascus;x
903;128;176;32;Homs;x
904;224;144;96;Hama;x
905;97;144;96;Latakia;x
906;142;248;149;Suwayda;x
907;0;48;160;Palmyra;x
908;96;208;224;Amman;x
909;194;180;131;Jerash;x
910;224;208;224;Ruwayshid;x
911;80;163;135;Maan;x
912;236;202;199;Baalbeck;x
913;199;236;203;Beirut;x
914;96;16;224;Askaleh;x
915;160;80;224;Sidon;x
916;54;94;143;Acre;x
917;224;80;96;Jerusalem;x
918;201;203;192;Nablus;x
919;96;80;96;Jaffa;x
920;96;208;96;Gaza;x
921;224;208;96;Beersheba;x
922;224;80;224;Aqaba;x
923;0;176;160;Mosul;x
924;32;144;224;Arbil;x
925;146;112;46;Kirkuk;x
926;32;80;96;Baghdad;x
927;160;80;96;Samarra;x
928;224;144;224;Mendeli;x
929;32;208;96;Karbala;x
930;29;127;94;Kut;x
931;96;144;224;Rutbah;x
932;128;112;96;Basra;x
933;32;80;224;Nasiriyya;x
934;160;208;96;Najaf;x
935;0;240;96;Kuwait;x
936;64;96;32;Grodno;x
937;191;223;32;Brest-Litovsk;x
938;128;224;160;Lida;x
939;224;97;118;Baranovichi;x
940;65;97;97;Pinsk;x
941;128;224;97;Slutsk;x
942;128;223;223;Mozyr;x
943;192;223;96;Smolensk;x
944;1;224;97;Orsha;x
945;192;160;224;Vitebsk;x
946;1;97;97;Polotsk;x
947;128;97;97;Pastavy;x
948;65;160;224;Mogilev;x
949;128;97;224;Gomel;x
950;208;224;97;Uzgorord;x
951;143;159;32;Stryi;x
952;176;33;160;Ternopil;x
953;126;221;158;Stanislavov;x
954;240;224;33;Vinnitsa;x
955;113;97;160;Proskorov;x
956;113;224;160;Rovne;x
957;224;1;224;Kovel;x
958;1;224;224;Kiev;x
959;17;33;160;Korosten;x
960;240;97;160;Zhitomir;x
961;114;98;145;Cherkassy;x
962;224;128;97;Chernigov;x
963;113;65;224;Poltava;x
964;49;224;224;Simferopol;x
965;239;96;32;Cherson;x
966;112;96;96;Kerch;x
967;176;223;223;Sevastopol;x
968;113;97;33;Odessa;x
969;113;224;33;Pervomaisk;x
970;176;33;97;Nikolaev;x
971;240;224;160;Krivoy Rog;x
972;113;224;97;Ekaterinoslav;x
973;240;97;97;Melitopol;x
974;113;224;224;Kramatorsk;x
975;112;32;223;Yuzovka;x
976;240;224;97;Mariopol;x
977;192;224;224;Kursk;x
978;240;97;224;Kharkov;x
979;128;81;128;Rostov;x
980;113;97;224;Luhansk;x
981;131;84;82;Archangel;x
982;160;64;0;Petsamo;x
983;33;192;128;Kandalaksha;x
984;160;192;128;Kostomushka;x
985;207;181;75;Mezen;x
986;160;0;64;Naryn Mar;x
987;32;128;64;Ust Sysolsk;x
988;224;64;0;Povyents;x
989;96;65;128;Vologda;x
990;223;64;128;Kotlas;x
991;224;192;128;Uglich;x
992;64;32;223;Belozersk;x
993;160;128;0;Vyterga;x
994;1;160;224;St Petersburg;x
995;108;110;122;Petrozavorsk;x
996;128;160;224;Luga;x
997;143;121;233;Gdov;x
998;177;238;116;Tver;x
999;160;160;33;Rzhev;x
1000;223;191;96;Staritsa;x
1001;224;32;32;Yaroslavl;x
1002;4;93;10;Manzhouli;x
1003;128;32;223;Novgorod;x
1004;160;0;0;Tikhvin;x
1005;64;160;96;Borovichi;x
1006;0;32;224;Pskov;x
1007;192;160;96;Velikiye Luki;x
1008;224;160;33;Moscow;x
1009;141;100;98;Borodino;x
1010;160;33;32;Kaluga;x
1011;160;32;160;Tula;x
1012;33;33;160;Ryazan;x
1013;97;33;160;Vladimir;x
1014;32;160;32;Vyazma;x
1015;192;32;224;Peremyshl;x
1016;188;4;65;Bryansk;x
1017;33;160;160;Orel;x
1018;64;223;223;Belgorod;x
1019;160;160;160;Voronets;x
1020;96;160;160;Nizhni Novgorod;x
1021;97;96;32;Penza;x
1022;223;32;160;Ivanovo;x
1023;192;192;64;Kostorma;x
1024;96;192;128;Galich;x
1025;97;97;160;Tambov;x
1026;160;128;64;Perm;x
1027;160;128;160;Vetluga;x
1028;160;0;192;Vyatkha;x
1029;32;128;192;Glasov;x
1030;223;160;160;Kazan;x
1031;32;96;32;Sarapol;x
1032;160;96;32;Chistopol;x
1033;33;223;33;Simbirsk;x
1034;191;112;96;Samara;x
1035;160;224;33;Syzran;x
1036;1;80;64;Astrakhan;x
1037;96;223;33;Saratov;x
1038;65;144;192;Novo Uzensk;x
1039;224;96;32;Tsaritsyn;x
1040;128;81;64;Zarevka;x
1041;128;16;64;Elitsa;x
1042;160;96;160;Ufa;x
1043;160;223;160;Busuluk;x
1044;33;223;160;Orenburg;x
1045;1;80;128;Migolinskaya;x
1046;192;81;128;Chirskaya;x
1047;0;208;128;Azov;x
1048;128;208;128;Ekaterinodar;x
1049;64;80;0;Novorossiysk;x
1050;192;208;1;Stavropol;x
1051;192;80;1;Adygei;x
1052;192;16;64;Derbent;x
1053;192;144;65;Gunib;x
1054;65;208;128;Vladikavkaz;x
1055;1;144;65;Grozny;x
1056;64;80;128;Pyatigorsk;x
1057;1;208;65;Kizylyar;x
1058;35;0;220;Ekaterinburg;x
1059;65;16;192;Chelyabinsk;x
1060;223;224;160;Orsk;x
1061;96;223;160;Tyumen;x
1062;223;96;160;Berezov;x
1063;173;34;110;Tomsk;x
1064;35;36;110;Omsk;x
1065;160;127;191;Surgut;x
1066;104;1;74;Tobolsk;x
1067;35;172;111;Kemerevo;x
1068;126;76;76;Ulala;x
1069;208;0;32;Yakutsk;x
1070;224;1;65;Tunginskoye;x
1071;224;128;65;Lazo;x
1072;97;160;223;Okhotsk;x
1073;97;128;192;Gizhiga;x
1074;160;96;223;Petropavlovsk;x
1075;104;34;110;Irkutsk;x
1076;160;160;96;Chunskoye;x
1077;35;34;255;Krasnoyarsk;x
1078;105;155;146;Chita;x
1079;96;160;96;Nerchinsk;x
1080;160;160;223;Bauntovskiy;x
1081;160;32;224;Yaksa;x
1082;96;208;128;HaIshenwai;x
1083;224;81;128;Boli;x
1084;96;80;128;Utchan;x
1085;160;208;0;Ulusamudan;x
1086;223;160;96;Pogobi;x
1087;32;16;192;Ootomari;x
1088;96;17;64;Shumshu;x
1089;224;160;224;Etorofu;x
1090;155;198;155;Tblisi;x
1091;240;224;223;Pasanauri;x
1092;128;16;0;Kutaisi;x
1093;192;207;128;Akhaltsikhe;x
1094;1;17;65;Poti;x
1095;64;208;1;Sukhumi;x
1096;128;144;1;Batum;x
1097;48;32;144;New Caledonia;x
1098;128;80;0;Erivan;x
1099;0;80;0;Gyumri;x
1100;48;223;96;Kapan;x
1101;49;97;224;Nakhichevan;x
1102;0;143;191;Baku;x
1103;191;209;89;Siyazen;x
1104;128;144;191;Sheki;x
1105;128;208;65;Ganja;x
1106;128;144;64;Agdam;x
1107;0;112;96;Lankaran;x
1108;96;80;160;Tabriz;x
1109;160;16;223;Khvoy;x
1110;128;176;160;Urumia;x
1111;204;166;63;Mahabad;x
1112;191;48;223;Ardabil;x
1113;192;176;224;Rasht;x
1114;128;112;223;Noshehr;x
1115;64;239;160;Sari;x
1116;64;112;160;Gorgan;x
1117;224;80;160;Kermanshah;x
1118;128;240;96;Sanandaj;x
1119;1;112;224;Ilam;x
1120;94;75;130;Khoramabad;x
1121;192;240;160;Tehran;x
1122;192;176;96;Hamadan;x
1123;65;176;224;Zanjan;x
1124;64;48;224;Qazvin;x
1125;65;176;96;Qom;x
1126;192;112;160;Semnan;x
1127;128;49;96;Isfahan;x
1128;192;49;96;Arak;x
1129;18;78;140;Kashan;x
1130;192;112;32;Yazd;x
1131;0;176;223;Ahvaz;x
1132;128;176;96;Abadan;x
1133;128;176;224;Dezful;x
1134;128;48;223;Dehkord;x
1135;128;240;160;Shiraz;x
1136;1;48;224;Bushire;x
1137;1;176;96;Yasuj;x
1138;1;240;160;Kangan;x
1139;64;112;32;Sirjan;x
1140;128;240;32;Kerman;x
1141;128;112;160;Lengeh;x
1142;1;112;160;Bandar Abbas;x
1143;202;204;73;Bam;x
1144;179;62;34;Zahedan;x
1145;1;240;32;Jask;x
1146;65;49;160;Chabahar;x
1147;192;176;32;Mashhad;x
1148;192;240;224;Birjand;x
1149;128;112;32;Sabzevar;x
1150;1;112;33;Bojnurd;x
1151;48;144;160;Mecca;x
1152;187;52;25;Jidda;x
1153;97;207;160;Medina;x
1154;119;129;55;Tabuk;x
1155;176;144;160;Abha;x
1156;128;49;33;Kaf;x
1157;176;208;160;Riyadh;x
1158;0;176;33;Rafha;x
1159;112;17;96;Halaban;x
1160;176;17;160;Hail;x
1161;176;17;96;Sharawrah;x
1162;80;90;224;Bahrain;x
1163;112;81;32;Qatif;x
1164;70;134;38;Hufuf;x
1165;239;80;32;Doha;x
1166;112;81;159;Muscat;x
1167;112;208;32;Abu Dhabi;x
1168;240;208;33;Dubai;x
1169;239;208;160;Suhar;x
1170;193;189;82;Nizwa;x
1171;239;80;160;Sur;x
1172;112;208;160;Duqm;x
1173;48;143;223;Mukalla;x
1174;86;39;160;Salalah;x
1175;176;16;223;Ghayda;x
1176;176;144;224;Bayda;x
1177;48;16;224;Socotra;x
1178;229;223;59;Sana;x
1179;49;65;144;Hodeida;x
1180;176;143;96;Taizz;x
1181;70;86;220;Qaraganda;x
1182;192;144;192;Guryev;x
1183;192;81;65;Aqtobe;x
1184;69;223;220;Kokshetau;x
1185;69;224;73;Yasi;x
1186;34;155;0;Alma Ata;x
1187;173;155;1;Semipalatinsk;x
1188;160;150;149;Qaratal;x
1189;89;155;157;Bishkek;x
1190;44;81;151;Naryn;x
1191;138;224;220;Khiva;x
1192;65;80;64;Nukus;x
1193;0;224;220;Kyzylorda;x
1194;191;16;191;Aqtau;x
1195;192;208;64;Tashkent;x
1196;1;17;192;Dashhowuz;x
1197;208;224;73;Shymkent;x
1198;138;86;220;Bukhara;x
1199;208;86;220;Samarkand;x
1200;32;176;33;Qarshi;x
1201;34;76;183;Khojand;x
1202;173;52;37;Kokand;x
1203;90;44;151;Osh;x
1204;191;175;160;Ashkabad;x
1205;128;17;192;Kizil Arvat;x
1206;192;112;96;Merv;x
1207;176;144;32;Kulob;x
1208;66;176;32;Khorug;x
1209;33;48;160;Kabul;x
1210;160;48;160;Faizabad;x
1211;96;176;160;Balkh;x
1212;64;240;96;Herat;x
1213;240;64;122;Bamyan;x
1214;192;239;96;Farrah;x
1215;64;240;224;Kandahar;x
1216;64;240;89;Jalalabad;x
1217;160;176;32;Ghazni;x
1218;32;176;160;Peshawar;x
1219;223;48;160;Quetta;x
1220;64;112;224;Dalbandin;x
1221;192;112;224;Kalat;x
1222;64;112;96;Bela;x
1223;185;67;175;Chitral;x
1224;33;112;33;Srinagar;x
1225;67;185;159;Gilgit;x
1226;33;240;32;Leh;x
1227;128;240;224;Lahore;x
1228;224;49;33;Multan;x
1229;185;67;89;Sialkot;x
1230;160;176;160;Attock;x
1231;112;105;64;Bahawalpur;x
1232;143;84;64;Shahpur;x
1233;160;112;32;Amritsar;x
1234;160;240;160;Firuzapur;x
1235;96;112;32;Simla;x
1236;224;239;160;Delhi;x
1237;224;112;32;Panipat;x
1238;73;51;127;Dehra Dun;x
1239;176;80;223;Meerut;x
1240;97;240;160;Agra;x
1241;97;112;160;Cawnpore;x
1242;224;112;160;Lucknow;x
1243;17;112;33;Allahabad;x
1244;51;127;108;Fyzabad;x
1245;208;176;160;Benares;x
1246;160;49;96;Gorakhpur;x
1247;33;176;96;Patna;x
1248;80;176;160;Gaya;x
1249;17;240;32;Kharswari;x
1250;224;176;160;Bhagalpur;x
1251;208;176;223;Calcutta;x
1252;226;233;43;Darjeeling;x
1253;239;80;96;Bardwan;x
1254;17;112;96;Dacca;x
1255;48;176;160;Rajshahi;x
1256;111;17;112;Jessore;x
1257;144;112;96;Chittagong;x
1258;160;48;224;Gauhati;x
1259;176;49;33;Imphal;x
1260;96;48;223;Dibrugarh;x
1261;208;49;160;Cuttack;x
1262;160;168;224;Keunjahr;x
1263;80;49;160;Sambalpur;x
1264;224;240;33;Ajmer;x
1265;96;49;160;Jaisalmer;x
1266;224;176;32;Jodhpur;x
1267;1;240;224;Bikaner;x
1268;97;240;33;Jaipur;x
1269;240;81;223;Udaipur;x
1270;52;106;80;Gwalior;x
1271;112;208;224;Indore;x
1272;239;208;223;Bhopal;x
1273;144;112;33;Chatarpur;x
1274;208;176;33;Rewa;x
1275;144;48;32;Jubulpore;x
1276;16;176;33;Hoshangabad;x
1277;208;49;32;Nagpur;x
1278;116;86;71;Amarati;x
1279;17;112;160;Jagdalpur;x
1280;144;240;32;Raipur;x
1281;81;176;33;Bilaspur;x
1282;102;51;127;Raigarh;x
1283;208;112;32;Hyderabad;x
1284;144;176;160;Aurangabad;x
1285;80;112;32;Nizamabad;x
1286;80;240;32;Gulbarga;x
1287;144;240;160;Warangal;x
1288;112;80;96;Karachi;x
1289;96;176;33;Sukkur;x
1290;49;81;96;Umarkot;x
1291;176;208;96;Ahmedabad;x
1292;48;208;96;Rajkot;x
1293;176;80;96;Mandvi;x
1294;49;81;224;Patan;x
1295;240;17;96;Baroda;x
1296;49;208;224;Surat;x
1297;176;208;224;Bombay;x
1298;144;176;33;Nasik;x
1299;144;49;160;Poona;x
1300;17;176;160;Bijapur;x
1301;17;49;160;Kolhapur;x
1302;208;112;160;Belgaum;x
1303;81;240;160;Goa;x
1304;16;176;96;Madras;x
1305;144;112;160;Vizagapatnam;x
1306;17;240;160;Masulipatnam;x
1307;207;240;32;Nellore;x
1308;81;112;160;Kurnool;x
1309;160;32;80;Tanjore;x
1310;160;33;208;Madurai;x
1311;32;160;80;Coimbatore;x
1312;171;173;177;Pondicherry;x
1313;144;48;96;Bangalore;x
1314;42;96;179;Mysore;x
1315;105;96;73;Chitaldroog;x
1316;208;240;160;Mangalore;x
1317;160;160;80;Calicut;x
1318;33;33;208;Cochin;x
1319;33;160;208;Trivandrum;x
1320;176;48;160;Andaman Islands;x
1321;160;160;208;Colombo;x
1322;223;32;80;Jaffna;x
1323;205;208;160;Kandy;x
1324;96;32;80;Trincomalee;x
1325;149;170;163;Maldives;x
1326;33;48;96;Katmandu;x
1327;96;80;33;Jumla;x
1328;224;176;224;Tumlong;x
1329;96;176;223;Thimpu;x
1330;176;176;160;Rangoon;x
1331;16;112;224;Bassein;x
1332;177;51;48;Pegu;x
1333;207;112;96;Toungoo;x
1334;61;181;169;Ava;x
1335;36;151;231;Kyaukse;x
1336;57;113;57;Magwe;x
1337;144;112;223;Prome;x
1338;144;239;223;Taunggyi;x
1339;144;239;96;Haka;x
1340;116;116;41;Lashio;x
1341;207;239;223;Putao;x
1342;215;166;72;Myitkyina;x
1343;208;239;96;Moulmein;x
1344;149;142;153;Mergui;x
1345;17;240;96;Sittwe;x
1346;16;175;224;Bangkok;x
1347;32;223;208;Lopburi;x
1348;153;161;192;Nakhon Sawan;x
1349;48;239;32;Sukothai;x
1350;112;112;32;Nakhon Ratchasima;x
1351;144;48;223;Prachinburi;x
1352;33;96;207;Phuket;x
1353;80;112;224;Ratchaburi;x
1354;208;112;223;Nakhon Si Thammanet;x
1355;80;112;96;Chiang Mai;x
1356;176;176;32;Luangprabang;x
1357;176;112;32;Vientiane;x
1358;180;128;151;Udon Thani;x
1359;92;48;112;Sisaket;x
1360;49;48;160;Xiangabouli;x
1361;176;239;32;Savannakhet;x
1362;176;239;160;Satavan;x
1363;48;239;160;Pakche;x
1364;239;239;32;Oudong;x
1365;239;112;32;Chanthaburi;x
1366;112;240;33;Battambang;x
1367;192;1;176;Kampot;x
1368;112;112;160;Stongtreng;x
1369;240;229;49;Hanoi;x
1370;240;176;160;Haiphong;x
1371;112;176;159;Cao Bang;x
1372;240;49;160;Son La;x
1373;159;112;176;Lang Son;x
1374;48;112;32;Thanh Hoa;x
1375;176;112;160;Hue;x
1376;48;112;160;Vinh;x
1377;239;48;96;Tourane;x
1378;192;128;176;Pleiku;x
1379;112;176;96;Quinhon;x
1380;33;127;104;Saigon;x
1381;0;192;176;Dongquai;x
1382;64;128;176;Hatien;x
1383;71;75;11;Vinhlong;x
1384;192;1;48;Singapore;x
1385;118;84;109;Johor Bahru;x
1386;128;128;176;Malacca;x
1387;200;76;76;Kuala Lumpur;x
1388;8;103;59;Penang;x
1389;128;0;176;Alor Setar;x
1390;0;128;176;Kuantan;x
1391;128;192;176;Kota Bahru;x
1392;160;96;208;Pattani;x
1393;128;1;112;Brunei;x
1394;1;65;176;Kuching;x
1395;128;65;176;Bintulu;x
1396;118;54;70;Api;x
1397;128;128;112;Sandakan;x
1398;110;211;158;Jambi;x
1399;143;188;244;Palembang;x
1400;211;166;110;Inderagiri;x
1401;96;33;208;Siak;x
1402;145;176;1;Tanjungpinang;x
1403;98;143;155;Lampung;x
1404;122;77;200;Palakpinang;x
1405;160;223;208;Banda Aceh;x
1406;97;97;80;Medan;x
1407;223;96;80;Tapaktuan;x
1408;121;166;110;Padang;x
1409;96;224;80;Sibolga;x
1410;233;98;244;Bencoolen;x
1411;224;160;240;Gunungsitoli;x
1412;49;144;96;Aden;x
1413;113;211;146;Batavia;x
1414;160;223;239;Bogor;x
1415;161;46;209;Cirebon;x
1416;209;157;46;Yogyakarta;x
1417;160;96;112;Semarang;x
1418;32;96;239;Surabaya;x
1419;32;223;112;Surakarta;x
1420;160;96;240;Probolinggo;x
1421;160;224;112;Madura;x
1422;143;143;222;Muraleve;x
1423;233;233;132;Banjarmasin;x
1424;155;122;77;Pasir;x
1425;1;128;112;Tarakan;x
1426;77;211;110;Pontianak;x
1427;166;122;110;Kota Waringin;x
1428;166;211;110;Sintang;x
1429;77;77;155;Samarinda;x
1430;177;77;88;Makassar;x
1431;122;77;155;Bone;x
1432;122;166;155;Mamuju;x
1433;128;128;240;Menado;x
1434;122;77;244;Luwuk;x
1435;192;1;112;Palu;x
1436;88;166;88;Kendari;x
1437;144;128;16;Bulon;x
1438;223;223;240;Bali;x
1439;144;128;144;Flores;x
1440;144;0;144;Sumbawa;x
1441;16;128;144;Sumba;x
1442;16;0;144;Lombok;x
1443;105;146;69;Roti;x
1444;146;145;69;Alor;x
1445;207;138;152;Kaupeng;x
1446;127;69;146;Dili;x
1447;122;122;110;Ternate;x
1448;255;118;108;Jilolo;x
1449;211;166;155;Ambon;x
1450;77;211;155;Ceram;x
1451;146;69;76;Aru;x
1452;175;240;1;Biak;x
1453;211;181;77;Sorong;x
1454;211;77;244;Merah;x
1455;176;240;224;Manila;x
1456;112;112;97;Vigan;x
1457;49;240;224;Legazpi;x
1458;176;240;176;Mindoro;x
1459;95;95;207;Palawan;x
1460;128;1;240;Iloilo;x
1461;240;1;226;Tacloban;x
1462;240;1;74;Zamboanga;x
1463;1;128;240;Davao;x
1464;153;208;48;Sulu;x
1465;243;155;1;Urga;x
1466;104;18;146;Dalandzadgad;x
1467;255;255;35;Bayan Tumen;x
1468;173;18;146;Altai;x
1469;35;18;146;Kyzyl;x
1470;112;48;160;Anqing;x
1471;84;144;81;Chizhou;x
1472;208;81;1;Fengyang;x
1473;16;144;128;Huizhou;x
1474;144;81;128;Luzhou;x
1475;144;81;87;Ningguo;x
1476;224;113;97;Sizhou;x
1477;81;87;144;Taiping;x
1478;81;81;1;Yingzhou;x
1479;97;208;1;Mukden;x
1480;224;81;1;Jinzhou;x
1481;112;144;1;Port Arthur;x
1482;176;144;128;Fuzhou;x
1483;160;240;224;Jianning;x
1484;240;112;96;Quanzhou;x
1485;112;112;224;Taibei;x
1486;224;112;224;Tingzhou;x
1487;112;240;96;Zhangzhou;x
1488;224;48;96;Gansu;x
1489;160;144;128;Gongchang;x
1490;32;48;224;Lanzhou;x
1491;143;94;81;Ningxia;x
1492;144;144;128;Pingliang;x
1493;176;176;97;Canton;x
1494;240;112;224;Chaozhou;x
1495;240;176;97;Gauzhou;x
1496;176;49;97;Hong Kong;x
1497;141;106;30;Waizao;x
1498;176;49;224;Macao;x
1499;48;176;224;Hainan;x
1500;49;176;97;Shaozhou;x
1501;49;49;224;Zhaoqing;x
1502;240;240;160;Nanning;x
1503;240;113;160;Guilin;x
1504;113;49;224;Pingle;x
1505;144;144;0;Guiyang;x
1506;224;240;96;Anshun;x
1507;16;144;0;Zhenyuan;x
1508;144;208;128;Kaifeng;x
1509;128;17;144;Guide;x
1510;144;144;65;Henan;x
1511;17;17;192;Huaiqing;x
1512;144;17;89;Chenzhou;x
1513;108;192;140;Nanyang;x
1514;17;47;144;Runing;x
1515;17;144;192;Weihui;x
1516;144;16;64;Hanyang;x
1517;80;144;64;Dean;x
1518;16;16;64;Huangzhou;x
1519;144;16;192;Anlu;x
1520;208;16;64;Jingzhou;x
1521;80;16;192;Shinan;x
1522;208;208;128;Wuchang;x
1523;80;144;192;Xiangyang;x
1524;208;80;128;Changsha;x
1525;208;144;192;Changde;x
1526;16;80;64;Baoqing;x
1527;80;80;128;Hengzhou;x
1528;24;111;67;Yuezhou;x
1529;208;16;192;Yongshun;x
1530;176;176;224;Yongzhou;x
1531;210;121;155;New Ireland;x
1532;160;81;1;Guihua Tumed;x
1533;224;17;1;Jirim Chuulgan;x
1534;224;144;128;Ulaan Chab Chuulghan;x
1535;97;144;1;Yeke Juu Chuulghan;x
1536;33;240;224;Huaian;x
1537;208;147;17;Changzhou;x
1538;176;17;1;Shanghai;x
1539;97;240;97;Suzhou;x
1540;48;16;0;Taicangzhou;x
1541;208;208;192;Tongzhou;x
1542;17;208;128;Xuzhou;x
1543;81;208;192;Yangzhou;x
1544;17;165;208;Zhenjiang;x
1545;96;240;224;Nanchang;x
1546;96;112;96;Guangxin;x
1547;16;16;128;Jian;x
1548;208;208;0;Jianchang;x
1549;80;208;128;Jiujiang;x
1550;96;112;224;Ganzhou;x
1551;80;208;0;Raozhou;x
1552;33;208;1;Qiqihar;x
1553;33;81;128;Aigun;x
1554;160;81;98;Ninguta;x
1555;160;81;128;Jilin;x
1556;32;176;224;Makhai;x
1557;160;176;224;Balekungomi;x
1558;96;48;96;Kegudo;x
1559;80;144;128;Xian;x
1560;69;146;100;Merauke;x
1561;208;16;128;Yenan;x
1562;208;16;0;Hanzhong;x
1563;197;94;116;Jinan;x
1564;225;151;8;Caozhou;x
1565;224;17;128;Laizhou;x
1566;81;81;192;Qingdao;x
1567;80;208;64;Qingzhou;x
1568;17;81;128;Taian;x
1569;186;161;211;Weihaiwei;x
1570;144;208;1;Wuding;x
1571;207;80;191;Yizhou;x
1572;231;90;53;Taiyuan;x
1573;113;240;160;Fenzhou;x
1574;208;144;65;Luan;x
1575;112;48;96;Pingyang;x
1576;144;144;192;Datong;x
1577;208;144;0;Chongqing;x
1578;96;224;213;Chengdu;x
1579;144;16;128;Baotung;x
1580;120;120;82;Jiading;x
1581;80;144;0;Kuizhou;x
1582;96;176;96;Longan;x
1583;224;240;224;Shunqing;x
1584;144;16;0;Tongchuan;x
1585;115;86;136;Yibin;x
1586;224;176;96;Yazhou;x
1587;160;112;96;Lhasa;x
1588;32;240;96;Chamdo;x
1589;32;112;224;Shigatse;x
1590;32;112;96;Lhodrak;x
1591;160;112;160;Changtang;x
1592;31;240;159;Ngari;x
1593;223;48;223;Tawang;x
1594;160;240;32;Kashgar;x
1595;160;16;0;Ili;x
1596;192;208;192;Tulta;x
1597;160;176;96;Aksu;x
1598;32;112;160;Khotan;x
1599;32;144;128;Kumul;x
1600;96;16;0;Urumqi;x
1601;144;176;96;Kunming;x
1602;48;176;32;Dali;x
1603;16;48;224;Puer;x
1604;48;144;0;Hangzhou;x
1605;91;233;198;Huzhou;x
1606;171;91;233;Jiaxing;x
1607;176;16;128;Jinhua;x
1608;176;144;0;Ningbo;x
1609;48;144;128;Shaoxing;x
1610;63;128;16;Taizhou;x
1611;48;16;128;Wenzhou;x
1612;224;208;1;Beijing;x
1613;205;205;238;Chengde;x
1614;144;81;1;Daming;x
1615;72;1;144;Jizhou;x
1616;208;144;128;Shuntian;x
1617;17;81;1;Tianjin;x
1618;33;81;1;Zhongding;x
1619;240;16;0;Pyongyang;x
1620;96;81;1;Chonchon;x
1621;112;17;1;Hamhung;x
1622;33;208;128;Chongjin;x
1623;160;208;128;Kimchaek;x
1624;48;80;0;Seoul;x
1625;240;17;128;Kaesong;x
1626;112;17;128;Haeju;x
1627;240;144;1;Sariwon;x
1628;176;80;0;Inchon;x
1629;112;144;128;Wonsan;x
1630;112;239;192;Kangnung;x
1631;240;144;128;Wonju;x
1632;155;168;181;Pusan;x
1633;48;80;128;Taegu;x
1634;49;208;0;Pohang;x
1635;48;208;128;Kwangju;x
1636;176;208;0;Taejon;x
1637;176;208;128;Cheju;x
1638;113;81;1;Hiroshima;x
1639;17;81;192;Okayama;x
1640;240;80;1;Yamaguchi;x
1641;162;135;176;Matsue;x
1642;160;144;192;Hakodate;x
1643;160;17;192;Ishikara;x
1644;32;144;192;Nemuru;x
1645;239;144;192;Niigata;x
1646;48;208;64;Kanazawa;x
1647;176;208;64;Fukui;x
1648;136;89;95;Toyama;x
1649;239;144;64;Edo;x
1650;71;133;153;Chiba;x
1651;112;16;192;Yokohama;x
1652;240;17;192;Urawa;x
1653;112;144;64;Mito;x
1654;128;1;17;Bonin;x
1655;176;208;192;Osaka;x
1656;97;66;135;Wakayama;x
1657;112;80;64;Kyoto;x
1658;48;80;64;Nara;x
1659;112;208;64;Kobe;x
1660;112;207;0;Fukuoka;x
1661;240;208;0;Nagasaki;x
1662;112;208;128;Kagoshima;x
1663;239;80;128;Miyazaki;x
1664;112;80;128;Kumamoto;x
1665;239;208;64;Kochi;x
1666;144;208;64;Matsuyama;x
1667;240;80;64;Tokushima;x
1668;176;144;192;Sendai;x
1669;240;16;64;Fukushima;x
1670;176;17;192;Morioka;x
1671;49;144;192;Akita;x
1672;224;208;128;Aomori;x
1673;112;16;64;Yamagata;x
1674;112;144;192;Utsunomiya;x
1675;48;80;192;Nagoya;x
1676;49;208;192;Shizuoka;x
1677;176;80;192;Nagano;x
1678;240;240;97;Okinawa;x
1679;240;208;128;Amari;x
1680;96;176;64;Fez;x
1681;250;226;187;Wazzan;x
1682;160;240;64;Meknes;x
1683;96;48;192;Taza;x
1684;223;48;192;Wujda;x
1685;223;48;64;Rabat;x
1686;32;176;192;Tangier;x
1687;160;176;192;Tetouan;x
1688;223;176;64;Ajdir;x
1689;202;159;117;Melilla;x
1690;223;112;64;Marrakesh;x
1691;88;148;155;Casablanca;x
1692;224;112;192;Huribka;x
1693;96;239;64;Sawira;x
1694;223;239;64;Agadir;x
1695;96;48;128;Ifni;x
1696;158;88;46;Tarfaya;x
1697;160;239;192;Figuig;x
1698;176;150;191;Rashidia;x
1699;96;112;192;Warzazat;x
1700;32;239;64;Algiers;x
1701;128;144;223;Bougie;x
1702;0;144;160;Setif;x
1703;126;82;147;Medea;x
1704;223;176;192;Oran;x
1705;62;104;136;Tlemcen;x
1706;167;94;120;Mustaghanim;x
1707;32;112;64;Mascara;x
1708;128;80;160;Constantine;x
1709;0;80;160;Bone;x
1710;1;208;160;Biskra;x
1711;160;240;128;Ouargla;x
1712;64;80;160;Tuggurt;x
1713;32;239;128;Laghwat;x
1714;160;239;128;Bechar;x
1715;160;112;64;Naama;x
1716;96;112;1;Tindouf;x
1717;176;240;192;Chenachene;x
1718;144;208;160;In Salah;x
1719;128;144;96;Ilizi;x
1720;160;112;192;Timimoun;x
1721;144;208;32;In Guezzam;x
1722;49;240;192;Tin Zawatene;x
1723;208;239;64;Panama Canal;x
1724;1;17;224;Tamanrasset;x
1725;128;208;160;Tunis;x
